text,class
"Uf di hitig Greßi isch s schließlig anne 1998 chuu, wu d Nord- un d Oschttribine erwyteret bzw. neierrichtet wore sin. D Nordtribine bietet 6000 Zueschauer ne Stohblatz, uf dr Oschttribine het s 6000 Sitzblätz. Boodi Tribine sin iberdacht. Vor dr Oschttribine sin au behindertegrächti Blätz diräkt am Spiilfäld entstande.
",als
"En Navidad de 1974, poco después de que interpretó la canción en francés película Papillon (Toi qui Regarde la Mer). Ella cantará la espléndida versión de Gloria Aleluya para una misa de medianoche celebrada por RTL.
",spa
"1499: D Schlacht im Schwaderloh im Thurgau goht as erschti großi Schlacht vum Schwobechrieg mit eme Siig vu dr Aidgnosse iber d Druppe vum Schwebische Bund uus.
",als
"Die geelblom (Cineraria saxifraga) is 'n klein, laaggroeiende struikie wat dikwels in tuine as 'n grondbedekker gebruik word. Dit dra geel blommetjies in die lente en het klein heldergroen blare wat amper soos hande lyk.
",afr
"Talle van mense, dikwels uit geïsoleerde gemeenskappe van die eilande se dorpe word na die ramp van '53 ontruim. Soms is dit na gemeenskappe in die omgewing, maar soms is dit ook na stede of provinsies in ander dele van die land.
",afr
"D Fraunhofer Saitenmusik isch a iiberregional bekannte bayrische Gruppe vo drei Muusikar, wo mitnand auf verschiidene Arta vo Saiteinschtrument schpiiled. Scho im Johr 1978 händ sich d Heidi Zink (†) und dr Richard Kurländer zämed due und händ dia Gruppe grindet. 1981 isch dann dr Gerhard Zink drzuekumme. Zeitweis hot au dr Jörg Weickl mitgschpielt.
",als
"Die dam het ontstaan nadat 'n voormalige kleigroef by die samevloeiing van Walker- en Argospruite met water gevul is. Eksotiese bome is om die dam geplant. Nege klein standhoudende damme met vleiland is geskep, sommige met kunsmatige eilande, om watervoëls en -diere te akkommodeer. Die natuurlike veldtipe in die reservaat is gemengde bosveld.
",afr
"Die Windkiste – Das Rektorat der Antillen (Fort-de-France, Martinique, Frankreich, Kolonialstil um 1900, Christian Hauvette). Produktion 1998, Erstausstrahlung am 9. Juni 2001.
",deu
"Die spore lei duidelik na 'n ou plaaslike legende oor 18de eeuse strandrowers wat gedurende noodtye skepe met valse ligte na die rotsbanke voor Ty Kern gelei het om die skipbreukelinge se kele af te sny en hul skeepsladings te roof. Marie begin vrae vra oor waar die skielike welvaart van sommige families op die eiland - insluitende haar eie gesin - in die laat 1960's vandaan gekom het. Die moordenaar probeer immers wraak te neem vir 'n grusame gebeurtenis wat hom bykans vier dekades gelede op Ty Kern afgespeel het...
",afr
"Im Herbst 2008 begann mit den HzL-Classic-Zügen nach 30 Jahren erneut der SPNV, zumindest mit Ausflugszügen. 2009 wurde der Freizeitverkehr als „3-Löwen-Takt Radexpress Eyachtäler“ aufgenommen und schrittweise ausgeweitet. Seit 2012 verkehrt er an allen Sonn- und Feiertagen vom 1. Mai bis zum dritten Sonntag im Oktober. Dabei pendelt ein Triebwagen im Zweistundentakt zwischen Eyach und Hechingen Landesbahn (Kursbuchstrecke 767). Bis 2011 wurde hauptsächlich eine historische MAN-Schienenbus-Garnitur eingesetzt (dann Fristablauf der Fahrzeuge und anschließender Verkauf), die ab 2012 durch moderne Regio-Shuttle ersetzt wurde. Weitere Fahrten gibt es alljährlich zum Haigerlocher Christkindlesmarkt. Zukünftige Fahrpläne sehen einen 30-Minuten-Takt im Anschluss an das Touristikangebot zu der Metropolregion Stuttgart auf der Gäubahn vor.
",deu
"Walafridi Strabi Fuldensis monachi opera omnia ex editione Duacensi et collectionibus Mabillonii, Dacherii, Goldasti, etc. nunc primum in unum coadunata accurante J.-P. Migne. 2 Bde. Paris 1879 (Patrologia Latina 113. 114).
",als
"Mänznou liid zösche Krachebach ond Chliiner Fontanne. Zue dr Gmeind ghöred d Ortsteil Geiss (616 m.ü.M.), Twerenegg (910 m.ü.M.), Menzberg (1'016 m.ü.M.), Elsnau (610 m.ü.M.), Elswil (600 m.ü.M.), Tutensee (618 m.ü.M.), Rengg (896–933 m.ü.M.), Rötelberg (612 m.ü.M.), Seehof (602m.ü.M.) ond Blochwil (576 m.ü.M.). Vo dr Gmeindsflechi send 59,3 % Landwirtschaftlechi Flechi, 34,7 % Waud, 5,4 % Sidligsflechi ond 0,6 % süschtigi Flechi. Nachbergmeinde vo Mänznou send Budishouz, Grosswange, Hergiswiu, Romoos, Ruusmu, Wouhuuse ond Willisou.
",als
"De wichtigst Kult isch de vom Poeninus gsii, wo ufem Pass vom Grosse St. Bernhard vereert woren isch. Im Ortsname Tarnaiae (hüt: Massongex) chönnt möglicherwiis de Name vom keltische Donnergott Taranis enthalte sii. Witteri bizügti keltischi Gotthaite sind de Sucellus, d Cantismerta und de Sedatus, nebet de römische Götter Jupiter, Mars und Merkur. Us Acaunum (hüt: St-Maurice) stammt e Bronzechopf vomene Stier mit drai Hörner und inere Quellgrotte bi Acaunum sind d Nymphe vereert wore. Im Rottedelta bi Pennelocus (hüt: Villeneuve) isch en Aichestatue gfunde wore, wo usem 1. Joorhundert v.Chr. stammt. Spöter sind orientalischi Kult is Wallis drunge, so vo de Magna Mater und em Mithras. Abem 4. Joorhundert het s Christetum fuess gfasst.
",als
"Volgens die NG gemeente Stellenbosch-Noord se 10-jarige gedenkbrosjure (1953–'63) – geskryf deur ds. G.S.J. Möller, in wie se eerste gemeente, Loeriesfontein, in 1960 ook 'n Bronkhorst-kerk gebou is – het die kerkraad die firma Louw & Louw in 1955 genader om sketsplanne vir die kerkgebou voor te berei. Die bron meld nie watter argitek aan dié firma die kerk ontwerp het nie, maar vanweë die sterk ooreenkomste met heelparty van Bronkhorst se ander kerkontwerpe is dit redelik seker dat hy die ontwerpargitek was. Ds. P.W.J. van Jaarsveld het die hoeksteen op 7 Desember 1957 gelê (die jaar waarin Bronkhorst se verbintenis met die firma Louw & Louw geëindig het) en die inwyding het plaasgevind op Saterdag 13 en Sondag 14 September 1958. Die totale koste van die gebou was £35 573.
",afr
"Hulle speel in rooi en swart gestreepte truie en hulle tuisveld is sedert 2010 die Nelson Mandelabaai-stadion. Voorheen was hul tuisveld die Boet Erasmus-stadion.
",afr
"Dr alt frankoprovenzalisch Patois isch wahrschyns aafangs 20. Jh. uusgstorbe. Ergebnis us dr Volkszellige vu 1990 un 2000, wu zum Dail Lyt Patois as Sproch aagchryzlet hän, gälte in dr Sprochwisseschaft as Artefakt un hän ihre Ursprung ender in statistische Fähler oder ass d Lyt unter „Patois“ ihr Regionalfranzesisch verstehn
",als
"Según el censo de 2010,[4]​ había 1462 personas residiendo en el municipio de Homer. La densidad de población era de 23,04 hab./km². De los 1462 habitantes, el municipio de Homer estaba compuesto por el 98,7 % blancos, el 0,62 % eran afroamericanos, el 0,27 % eran de otras razas y el 0,41 % eran de una mezcla de razas. Del total de la población el 0,55 % eran hispanos o latinos de cualquier raza.[5]​
",spa
"Im Verlauf der Auseinandersetzungen mit den Ständen war Dietrich versucht, auf das Amt zu verzichten und es wurde geplant, einen Koadjutor zu bestimmen. Insgeheim wurde dafür einer der Söhne Caspars Friedrich von Fürstenberg und später Johann Gottfried von Fürstenberg ausersehen. Dieser Versuch, auch nach Dietrich einen Fürstenberger auf den Bischofssessel in Paderborn zu bringen, scheiterte am zunehmenden Einfluss der Wittelsbacher im Nordwesten des Heiligen Römischen Reiches. Daher wurde 1612 Ferdinand von Bayern zum Koadjutor gewählt.
",deu
"Die dorp het ontwikkel uit 'n stasie wat eerw. Gottlieb Viehe van die Rynse Sendinggenootskap in 1870 hier gestig het nadat Herero onder hoofman Tjiseseta omstreeks die middel van die 19de eeu hier kom vestig het. Die eerste skool is kort ná die stasie se stigting opgerig en die eerste kerk het Viehe in 1874 ingewy. In 1876 het hier reeds 42 Europeërs gewoon, maar 'n skool wat Viehe in 1870 vir hul en die bruin inwoners se kinders gestig het, het ná ses maande gesluit. Die Duitsers het 'n militêre pos in 1894 opgerig en invallers het die plaaslike fort in 1904 tydens die Herero-oorlog beleër. Die garnisoen het gesukkel om die indertydse klein dorpie te verdedig en 123 Duitse burgerlikes en soldate het gesterf voor die beleg beëindig is. Nog onder die Duitse koloniale administrasie het die dorpie in Julie 1909 munisipale status verwerf. In latere jare is goud daar naby ontdek. 'n Groot romery, die eerste wat in Suidwes-Afrika geregistreer is, is in 1928 hier geopen.
",afr
"V.2. Hubert Julius Maximilian gen. Max von Guilleaume (* 17. Februar 1866; † 15. Juni 1932; Geheimer Kommerzienrat) ∞ Clara Michels (1869–1930), Tochter von Gustav Michels
",deu
"E Schruube isch e Stift oder Bolze, wo ussen e Gwind draa het. E Verbindig, wo mit ere Schruube gmacht wird, hebt mäistens besser as äini, wo mit Stift ooni Gwind gmacht wird und wider ufgmacht wärde. Grundsätzlig underschäidet mä zwüsche sogenannte Holzschruube und Metallschruube.
",als
"En la Copa Mundial de Fútbol Sub-20 de 2011, pitó los partidos Argentina vs. México, Colombia vs. Malí de la primera fase, en octavos de final pitó el partido Brasil vs. Arabia Saudita.
",spa
"Den Zweiten Weltkrieg überstand das Denkmal ohne größere Schäden. Witterungseinflüsse und Vandalismus erforderten jedoch zu Beginn der 1980er Jahre Maßnahmen zur Rettung des Denkmals. Der desolate Zustand des Marmors und der gewaltige Umfang des Denkmals verhinderten eine Verwahrung des Originaldenkmals und den Ersatz durch eine Nachbildung. Einerseits bestand die Gefahr, dass der Stein bei der Umsetzung einfach zerbröckelt wäre, andererseits stand im Lapidarium, dem üblichen Verwahrungsort, kein Platz zur Verfügung. 1987 erhielt das Denkmal deshalb nach einem Entwurf der Architektin Marianne Wagner ein Schutzdach, eine Stahlkonstruktion in Form eines plexiglasüberdeckten Tonnengewölbes. Ein Wachsüberzug schützt den Stein zusätzlich vor Witterungseinflüssen.
",deu
"Neben Einzelhandelsgeschäften und kleineren Supermärkten direkt im Ortskern gibt es auch große Bau- und Supermärkte an der Peripherie. Mit dem Bus gelangt man schnell in die Mainzer oder Wiesbadener Innenstadt, mit dem Auto sind es wenige Minuten auf der Autobahn Richtung Frankfurt, Koblenz oder Kaiserslautern. Familien mit Kindern finden in Mombach mehrere Kindergärten, zwei Grundschulen und eine Realschule plus; andere weiterführende Schulen sind mit den öffentlichen Verkehrsmitteln in kurzer Zeit zu erreichen.
",deu
"Lode war und ist Mitglied in zahlreichen Deutschen, Europäischen und Amerikanischen wissenschaftlichen Vereinigungen. Darunter zählen die Deutsche Gesellschaft für Kinder und Jugendmedizin, die American Association of Cancer Research, die American Society of Hematology, die American Association of Immunologists sowie die American Society of Clinical Oncology. Seit 2013 ist er Mitglied des Beratenden Wissenschaftsausschuss der International Society for Pediatric Oncology Europe Neuroblastoma (SIOPEN), Vorsitzender des Immuntherapie Komitees der SIOPEN und Mitglied des Wissenschaftskomitees der International Society for Pediatric Oncology (SIOP SPAC Member).
",deu
"Omaruru is 'n dorpie in Namibië, 70 km noord van Karibib en 220 km noordwes van Windhoek, geleë op die oewers van die boomryke en waterryke Omaruru-rivier, naby die skouspelagtige Omaruru-koppie. Dit kom van Herero vir bitter dikmelk, na aanleiding van die koeie wat sekere struikplante wat daar groei, eet. Die geskatte bevolking in 2010 was 4 800.
",afr
"Charles Bernard Nordhoff, James Norman Hall, Lina Fankhauser, Alfred Fankhauser: Strafkolonie Sydney. Büchergilde Gutenberg, Frankfurt am Main 1953, ASIN B0000BM1G2
",als
"Ally y Buttons encuentran el descodificador y Ally se pone a descodificar códigos. Ally y Chen pelean por el control del Gigantor. En el último piso de la Torre de Hierro, Gaff, el capitán Magnum y Marty pelean contra el General. Entonces, cuando el General ha vencido a todos menos a Marty este consigue derrotarle el solo. Al mismo tiempo Ally vence al doctor Chen en la lucha por el control del Gigantor, y este huye. Después aparecen Marty y Buttons en el remolque con Charly. Marty se acuerda que ese día era la conferencia de Ally en el CDF. La serie termina con la foto de todos juntos en el CDF.
",spa
